Player Name, Number of Moves, Date 
Anita, 3,2022-05-21T19:19:23.444387300Z
Paula, 3,2022-05-21T19:20:38.096629600Z
Anita, 3,2022-05-21T19:42:45.225877800Z
Evija, 3,2022-05-22T13:21:39.905139Z
Evija, 3,2022-05-22T13:23:43.766606600Z
Evija, 3,2022-05-22T13:30:20.542582400Z
John, 3,2022-05-22T13:43:07.943968200Z
Bill, 3,2022-05-22T14:01:12.678292800Z
Evija, 3,2022-05-22T16:20:48.420149200Z
Labi, 6,2022-05-22T16:34:03.567409Z
Kevija, 5,2022-05-22T16:41:20.229185700Z
Anna, 4,2022-05-22T16:46:20.770217Z
Neanna, 7,2022-05-22T16:46:51.880197Z
Jānis, 6,2022-05-22T16:52:14.1020478Z
